node_pair,network_relation,eyes,bands,city,contrast
L-ACC→R-ACC,SN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.16059717757331438
L-ACC→L-INS,SN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.025674131335917293
L-ACC→R-INS,SN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.03253347285382124
L-ACC→L-IFG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.08871415667468088
L-ACC→R-IFG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.023211538298959885
L-ACC→L-mPFC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.13049306966956498
L-ACC→R-mPFC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.05490478573041517
L-ACC→L-aSTG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.04950704102591152
L-ACC→R-aSTG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.03374314404149129
L-ACC→L-PREC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.24400104640365927
L-ACC→R-PREC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.09119718083720542
L-ACC→L-ANG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.11145796216381147
L-ACC→R-ANG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.10636131394229748
L-ACC→L-SFG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.05400556493734326
L-ACC→R-SFG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.1907221184953856
L-ACC→L-pSTG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.09060453698477577
L-ACC→R-pSTG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.02501680610245546
L-ACC→L-ITG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.11865312221722926
L-ACC→R-ITG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.16321728272288535
L-ACC→L-SUP,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.03369259441587502
