node_pair,network_relation,city,eyes,bands,contrast
L-ACC→R-ACC,SN→SN,Kraków,eyes closed,alpha,0.18818776300902634
L-ACC→L-INS,SN→SN,Kraków,eyes closed,alpha,-0.013203140904379018
L-ACC→R-INS,SN→SN,Kraków,eyes closed,alpha,-0.21596220991960682
L-ACC→L-IFG,SN→DMN,Kraków,eyes closed,alpha,-0.3714168149807578
L-ACC→R-IFG,SN→CEN,Kraków,eyes closed,alpha,-0.12488920996743409
L-ACC→L-mPFC,SN→DMN,Kraków,eyes closed,alpha,-0.2608422635612164
L-ACC→R-mPFC,SN→DMN,Kraków,eyes closed,alpha,0.09235226082088449
L-ACC→L-aSTG,SN→DMN,Kraków,eyes closed,alpha,0.17097008285302207
L-ACC→R-aSTG,SN→DMN,Kraków,eyes closed,alpha,0.07648661601319408
L-ACC→L-PREC,SN→DMN,Kraków,eyes closed,alpha,0.1625257953259773
L-ACC→R-PREC,SN→DMN,Kraków,eyes closed,alpha,0.0544641538174447
L-ACC→L-ANG,SN→DMN,Kraków,eyes closed,alpha,0.04499212706658475
L-ACC→R-ANG,SN→DMN,Kraków,eyes closed,alpha,-0.04025611369115478
L-ACC→L-SFG,SN→CEN,Kraków,eyes closed,alpha,-0.055600929979939595
L-ACC→R-SFG,SN→CEN,Kraków,eyes closed,alpha,-0.3406410353329787
L-ACC→L-pSTG,SN→CEN,Kraków,eyes closed,alpha,0.06494238918306573
L-ACC→R-pSTG,SN→CEN,Kraków,eyes closed,alpha,-0.05920016719287467
L-ACC→L-ITG,SN→CEN,Kraków,eyes closed,alpha,0.27981261000203217
L-ACC→R-ITG,SN→CEN,Kraków,eyes closed,alpha,0.008998425413316951
L-ACC→L-SUP,SN→CEN,Kraków,eyes closed,alpha,0.24550174545272183
L-ACC→R-SUP,SN→CEN,Kraków,eyes closed,alpha,0.10826575541590795
R-ACC→L-ACC,SN→SN,Kraków,eyes closed,alpha,0.3047296723205392
R-ACC→L-INS,SN→SN,Kraków,eyes closed,alpha,-0.09898267954648646
R-ACC→R-INS,SN→SN,Kraków,eyes closed,alpha,-0.24864070221007362
R-ACC→L-IFG,SN→DMN,Kraków,eyes closed,alpha,-0.19804711356568527
R-ACC→R-IFG,SN→CEN,Kraków,eyes closed,alpha,0.25085967718320135
R-ACC→L-mPFC,SN→DMN,Kraków,eyes closed,alpha,-0.14201432049934526
R-ACC→R-mPFC,SN→DMN,Kraków,eyes closed,alpha,0.026995276239950853
R-ACC→L-aSTG,SN→DMN,Kraków,eyes closed,alpha,0.21596220991960682
R-ACC→R-aSTG,SN→DMN,Kraków,eyes closed,alpha,0.10433690542448655
